Order_ID,Order_Date,Region,Shipping_Mode,Product_Category,Customer_Segment,Shipment_Volume,Distance_km,Weather_Risk,Traffic_Index,Warehouse_Load,Scheduled_Days,Actual_Delivery_Days,Delivery_Delay_Days,Late_Delivery,Transport_Cost,Order_Value,Inventory_Units,Stockout
ORD-100000,2025-01-01 00:00:00.000000000,West,Second Class,Home & Kitchen,Retail,11,296,Low,26.8,74.0,3.2,2.8,-0.4,0,90.29,559.53,570,0
ORD-100001,2025-01-01 05:49:40.386924616,South,Same Day,Sports,Retail,10,44,Medium,82.4,78.1,1.7,2.7,1.0,1,81.31,1107.43,559,0
ORD-100002,2025-01-01 11:39:20.773849232,West,Standard Class,Electronics,Wholesale,2,666,Low,73.2,80.9,4.4,5.4,1.0,1,120.68,200.74,563,0
ORD-100003,2025-01-01 17:29:01.160773849,East,Standard Class,Sports,Retail,3,421,Low,61.3,60.8,3.9,5.0,1.1,1,85.53,160.31,69,0
ORD-100004,2025-01-01 23:18:41.547698465,North,First Class,Electronics,Retail,12,62,Low,58.0,67.8,2.3,3.4,1.1,1,77.99,1411.64,310,0
ORD-100005,2025-01-02 05:08:21.934623082,West,Second Class,Home & Kitchen,Retail,12,1171,Medium,79.9,74.3,5.1,7.3,2.2,1,168.99,941.57,142,0
ORD-100006,2025-01-02 10:58:02.321547698,West,Second Class,Sports,Retail,12,908,High,76.8,58.9,4.7,7.5,2.8,1,125.48,648.59,67,0
ORD-100007,2025-01-02 16:47:42.708472314,West,Standard Class,Electronics,Retail,4,1367,Medium,75.8,46.8,5.7,7.2,1.5,1,171.94,255.26,241,0
ORD-100008,2025-01-02 22:37:23.095396931,North,Standard Class,Electronics,Wholesale,11,731,Low,63.2,52.1,4.5,5.7,1.2,1,125.9,1227.78,263,0
ORD-100009,2025-01-03 04:27:03.482321547,South,Second Class,Sports,Retail,2,669,Low,48.7,61.1,4.1,4.7,0.6,1,90.2,267.86,184,0
ORD-100010,2025-01-03 10:16:43.869246164,South,Standard Class,Clothing,Retail,3,1267,Low,68.8,75.6,5.5,8.1,2.6,1,164.12,250.81,77,0
ORD-100011,2025-01-03 16:06:24.256170780,West,Standard Class,Home & Kitchen,Retail,10,140,Low,69.7,85.1,3.3,3.8,0.5,1,64.85,429.09,250,0
ORD-100012,2025-01-03 21:56:04.643095396,East,Second Class,Home & Kitchen,Corporate,13,555,Low,51.6,43.3,3.7,5.0,1.3,1,133.14,596.17,101,0
ORD-100013,2025-01-04 03:45:45.030020013,West,Second Class,Sports,Retail,14,1202,Medium,48.7,55.4,4.9,7.0,2.1,1,186.62,1396.52,34,1
ORD-100014,2025-01-04 09:35:25.416944629,South,First Class,Electronics,Retail,20,453,Medium,75.4,59.3,3.3,4.5,1.2,1,131.75,1418.02,276,0
ORD-100015,2025-01-04 15:25:05.803869246,North,Standard Class,Sports,Retail,18,1330,Low,85.0,77.7,5.6,7.5,1.9,1,206.09,1398.58,48,0
ORD-100016,2025-01-04 21:14:46.190793862,East,Standard Class,Home & Kitchen,Retail,8,440,Medium,41.5,56.6,4.0,5.4,1.4,1,84.7,549.36,579,0
